nome,valor,marca,categoria,loc,ano,km_rodados
FORD FUSION,78990,FORD,Hatch,SP,2014,52000.0
TOYOTA COROLLA,45890,TOYOTA,Sedan,SP,2012,185000.0
AUDI A1,61990,AUDI,Hatch,SP,2014,51115.0
HONDA FIT,54990,HONDA,Mini Van,SP,2015,77280.0
HYUNDAI TUCSON,45990,HYUNDAI,Utilitário,SP,2014,77540.0
FORD FIESTA,21990,FORD,Hatch,SP,2013,92597.0
MITSUBISHI PAJERO TR4,41990,MITSUBISHI,Utilitário,SP,2013,91310.0
FORD FIESTA,21990,FORD,Hatch,SP,2011,99000.0
CHEVROLET PRISMA,39900,CHEVROLET,Sedan,SP,2016,53900.0
CHEVROLET PRISMA,34990,CHEVROLET,Sedan,SP,2013,78860.0
FORD FIESTA,21900,FORD,Hatch,SP,2012,120000.0
CHEVROLET SPIN,31900,CHEVROLET,Hatch,SP,2013,187919.0
VOLKSWAGEN VOYAGE,36900,VOLKSWAGEN,Sedan,SP,2017,45400.0
HYUNDAI HB20S,45900,HYUNDAI,Sedan,SP,2016,60000.0
TOYOTA COROLLA,26000,TOYOTA,Sedan,SP,2005,132343.0
CHEVROLET PRISMA,16900,CHEVROLET,Hatch,SP,2009,128165.0
FIAT STRADA,46900,FIAT,Picape,SP,2014,69000.0
FIAT TORO,138990,FIAT,Hatch,SP,2019,0.0
FIAT UNO,28800,FIAT,Hatch,SP,2018,32000.0
TOYOTA FIELDER,21990,TOYOTA,Hatch,SP,2004,180890.0
FIAT BRAVO,34990,FIAT,Hatch,SP,2015,87114.0
HYUNDAI CRETA,64990,HYUNDAI,Hatch,SP,2017,40000.0
CHEVROLET CELTA,14500,CHEVROLET,Hatch,SP,2010,85733.0
FIAT STRADA,15900,FIAT,Picape,SP,2007,206820.0
FIAT CRONOS,62990,FIAT,Hatch,SP,2020,0.0
FIAT CRONOS,63990,FIAT,Hatch,SP,2020,0.0
FORD FIESTA,30490,FORD,Hatch,SP,2013,117852.0
HYUNDAI IX35,79900,HYUNDAI,SUV,SP,2017,70000.0
VOLKSWAGEN VOYAGE,39900,VOLKSWAGEN,Sedan,SP,2018,7950.0
VOLKSWAGEN VOYAGE,38900,VOLKSWAGEN,Sedan,SP,2018,26600.0
FORD FIESTA,31990,FORD,Hatch,SP,2013,93771.0
VOLKSWAGEN CROSSFOX,26900,VOLKSWAGEN,Hatch,SP,2009,103500.0
JEEP RENEGADE,59990,JEEP,Utilitário,SP,2015,70074.0
FORD FIESTA,35990,FORD,Hatch,SP,2015,138545.0
HYUNDAI HB20,56990,HYUNDAI,Hatch,SP,2018,14416.0
FIAT GRAND SIENA,32990,FIAT,Hatch,SP,2014,84459.0
CHEVROLET PRISMA,38990,CHEVROLET,Hatch,SP,2015,63541.0
VOLKSWAGEN FOX,27900,VOLKSWAGEN,Hatch,SP,2012,72500.0
CHEVROLET ONIX,39900,CHEVROLET,Hatch,SP,2018,49000.0
CHEVROLET PRISMA,20890,CHEVROLET,Sedan,SP,2010,163000.0
TOYOTA HILUX,110000,TOYOTA,Picape,SP,2012,164000.0
FIAT PALIO,23900,FIAT,Hatch,SP,2017,43594.0
